id,title,authors,year,venue,doi,url,pdf_file/path,v2_decision,v2_reason,final_include,notes
1,Leveraging Large Language Models to Improve REST API Testing,Myeongsoo Kim; Tyler Stennett; Dhruv Shah; Saurabh Sinha; Alessandro Orso,2024,ICSE-NIER 2024,10.1145/3639476.3639769,https://arxiv.org/abs/2312.00894,https://arxiv.org/pdf/2312.00894,Include,Full-text confirms IC1-IC5: GPT-3.5 rule extraction 97% precision and 72.68% valid inputs from OpenAPI - core LLM REST API test enhancement,YES,LLM-based
2,KAT: Dependency-aware Automated API Testing with Large Language Models,Tri Le; Thien Tran; Duy Cao; Vy Le; Tien Nguyen; Vu Nguyen,2024,ICST 2024,10.1109/ICST60714.2024.00017,https://arxiv.org/abs/2407.10227,https://arxiv.org/pdf/2407.10227,Include,Full-text confirms IC1-IC5: +15.7% status-code coverage and 24 undocumented codes vs RestTestGen,YES,LLM-based
3,You Can REST Now: Automated REST API Documentation and Testing via LLM-Assisted Request Mutations,Alix Decrop; Xavier Devroey; Mike Papadakis; Pierre-Yves Schobbens; Gilles Perrouin,2024,arXiv preprint,10.48550/arXiv.2402.05102,https://arxiv.org/abs/2402.05102,https://arxiv.org/pdf/2402.05102,Include,Full-text confirms IC1-IC5: LLM-assisted black-box testing - route coverage up to 100% and 5xx triggered in 4 APIs,YES,LLM-based
4,APITestGenie: Automated API Test Generation through Generative AI,Andre Pereira; Bruno Lima; Joao Pascoal Faria,2024,AST 2026 (arXiv 2024 preprint),10.1145/3793654.3793743,https://arxiv.org/abs/2409.03838,https://arxiv.org/pdf/2409.03838,Include,Full-text confirms IC1-IC5: GPT-4-Turbo from requirements+OpenAPI - 57.3% valid scripts (single) rising to 80% over 3 attempts,YES,LLM-based
5,Automating REST API Postman Test Cases Using LLM,S Deepika Sri; Mohammed Aadil S; Sanjjushri Varshini R; Raja CSP Raman; Gopinath Rajagopal; S Taranath Chan,2024,arXiv preprint,10.48550/arXiv.2404.10678,https://arxiv.org/abs/2404.10678,https://arxiv.org/pdf/2404.10678,Exclude,IC5: workflow demonstration with no empirical coverage or fault-detection metrics reported (weaker than the included generators #1 and #4),NO,Excluded full-text
8,Augmenting API Security Testing with Automated LLM-Driven Test Generation,Emil Marian Pasca; Rudolf Erdei; Daniela Delinschi; Oliviu Matei,2024,ICEUTE/CISIS 2024,10.1007/978-3-031-75016-8_11,https://link.springer.com/chapter/10.1007/978-3-031-75016-8_11,https://link.springer.com/chapter/10.1007/978-3-031-75016-8_11,Exclude,EC4: scope narrowed to security testing (Karate DSL from OpenAPI) - outside the coverage/fault-detection RQ,NO,Excluded full-text
9,An Intelligent Agent for Automated Test Generation from OpenAPI Specifications,Ricardo F. Vilela; Pietra Soares; Stevao Alves de Andrade; Eduardo B. F. Santos; Williamson Silva; Pedro H. D. Valle,2025,Anais do 2nd WBOTS,10.5753/wbots.2025.15217,https://sol.sbc.org.br/index.php/wbots/article/view/36927,https://sol.sbc.org.br/index.php/wbots/article/view/36927,Exclude,EC3: short workshop (WBOTS) paper with insufficient empirical depth,NO,Excluded full-text
10,Combining TSL and LLM to Automate REST API Testing: A Comparative Study,Thiago Barradas; Aline Paes; Vania de Oliveira Neves,2025,SBES 2025,10.5753/sbes.2025.9670,https://arxiv.org/abs/2509.05540,https://arxiv.org/pdf/2509.05540,Include,Full-text confirms IC1-IC5: 7 LLMs compared - Claude 3.5 Sonnet 71.7% branch coverage and 40.8% mutation score from OpenAPI,YES,LLM-based
11,RESTifAI: LLM-Based Workflow for Reusable REST API Testing,Leon Kogler; Maximilian Ehrhart; Benedikt Dornauer; Eduard Paul Enoiu,2026,ICSE 2026 Demonstrations,10.48550/arXiv.2512.08706,https://arxiv.org/abs/2512.08706,https://arxiv.org/pdf/2512.08706,Include,Full-text confirms IC1-IC5: GPT-4.1-mini - 128/134 operations on OhSome vs AutoRestTest 33 plus real-world bug detection (full arXiv preprint with substantial empirical eval - not a short demo abstract so passes EC3),YES,LLM-based
12,A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,Myeongsoo Kim; Tyler Stennett; Saurabh Sinha; Alessandro Orso,2025,ICSE 2025,10.1109/ICSE55347.2025.00179,https://arxiv.org/abs/2411.07098,https://arxiv.org/pdf/2411.07098,Include,Full-text confirms IC1-IC5: GPT+MARL+semantic graphs - 58.3% method/line coverage and 42 500-errors vs EvoMaster 20,YES,LLM-based
13,AutoRestTest: A Tool for Automated REST API Testing Using LLMs and MARL,Tyler Stennett; Myeongsoo Kim; Saurabh Sinha; Alessandro Orso,2025,ICSE 2025 Demonstrations,10.48550/arXiv.2501.08600,https://arxiv.org/abs/2501.08600,https://arxiv.org/pdf/2501.08600,Exclude,EC1: tool-demo version of #12 (same tool and authors) - superseded by the full research paper,NO,Excluded full-text
14,LlamaRestTest: Effective REST API Testing with Small Language Models,Myeongsoo Kim; Saurabh Sinha; Alessandro Orso,2025,FSE 2025,10.1145/3715737,https://arxiv.org/abs/2501.08598,https://arxiv.org/pdf/2501.08598,Include,Full-text confirms IC1-IC5: fine-tuned Llama3-8B - 204 faults vs EvoMaster 130 and coverage above all baselines,YES,LLM-based
15,LogiAgent: Automated Logical Testing for REST Systems with LLM-Based Multi-Agents,Ke Zhang; Chenxi Zhang; Chong Wang; Chi Zhang; YaChen Wu; Zhenchang Xing; Yang Liu; Qingshan Li; Xin Peng,2025,arXiv preprint 2025,10.48550/arXiv.2503.15079,https://arxiv.org/abs/2503.15079,https://arxiv.org/pdf/2503.15079,Include,Full-text confirms IC1-IC5: GPT-4o-mini multi-agent - 71.78% line coverage 234 logical issues and 49 server crashes,YES,LLM-based
21,Automated Test Generation for REST APIs: No Time to Rest Yet,Myeongsoo Kim; Qi Xin; Saurabh Sinha; Alessandro Orso,2022,ISSTA 2022,10.1145/3533767.3534401,https://arxiv.org/abs/2204.08348,https://arxiv.org/pdf/2204.08348,Include,Full-text confirms IC4+IC5: empirical comparison of 10 tools on 20 services - EvoMasterWB 52.76% line coverage (best); maps coverage ceilings,YES,Empirical study
22,RESTful API Automated Test Case Generation with EvoMaster,Andrea Arcuri,2019,ACM TOSEM,10.1145/3293455,https://arxiv.org/abs/1901.01538,https://arxiv.org/pdf/1901.01538,Include,Full-text confirms IC4: white-box search-based - 38 real bugs; generated coverage below manual (41% vs 82%) - key baseline + manual comparison,YES,Baseline (non-LLM)
23,Automatic Generation of Test Cases for REST APIs: A Specification-Based Approach,Hamza Ed-douibi; Javier Luis Canovas Izquierdo; Jordi Cabot,2018,EDOC 2018,10.1109/EDOC.2018.00031,https://modeling-languages.com/wp-content/uploads/2018/10/edoc2018.pdf,https://modeling-languages.com/wp-content/uploads/2018/10/edoc2018.pdf,Exclude,EC1: early specification-based approach superseded by EvoMaster (#10-table) and later black-box tools,NO,Excluded full-text
24,RESTler: Stateful REST API Fuzzing,Vaggelis Atlidakis; Patrice Godefroid; Marina Polishchuk,2019,ICSE 2019,10.1109/ICSE.2019.00083,https://www.microsoft.com/en-us/research/publication/restler-stateful-rest-api-fuzzing/,https://www.microsoft.com/en-us/research/publication/restler-stateful-rest-api-fuzzing/,Exclude,EC1: foundational fuzzing baseline retained as a comparator inside included papers (#9 #12 #13-table) rather than a separate row,NO,Excluded full-text
25,RESTTESTGEN: Automated Black-Box Testing of RESTful APIs,Emanuele Viglianisi; Michael Dallago; Mariano Ceccato,2020,ICST 2020,,https://conf.researchr.org/details/icst-2020/icst-2020-papers/10/RESTTESTGEN-Automated-Black-Box-Testing-of-RESTful-APIs,https://conf.researchr.org/details/icst-2020/icst-2020-papers/10,Exclude,EC1: black-box baseline retained as a comparator inside KAT (#2-table) and DeepREST (#13-table),NO,Excluded full-text
