id,title,authors,year,venue,source_db,search_string,v1_decision,v1_reason
1,Automated Test Case Generation for Software APIs Using Reinforcement Learning,N Wang,2026,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC7: Thesis (NCI Dublin), not peer-reviewed"
2,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,"J Zhang, X Hu, C Gao, X Xia, S Li",2026,ACM Transactions on Software …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"IC5: SLR, no original experiment"
3,Design and implementation of a full stack automated software testing platform based on large language models,R Zhang,2026,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC7: Thesis (LUT), not peer-reviewed"
4,Automating Software and Vulnerability Testing in REST APIs with Large Language Models,D Strauß,2025,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC7: Thesis (TU Wien), not peer-reviewed"
5,Automated REST API Black-box Test Generation in Practice: An Experience Report from Industry,"D Corradini, SY Shin, D Bianculli",,19th IEEE International Conference on …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
6,RESTestBench: A Benchmark for Evaluating the Effectiveness of LLM-Generated REST API Test Cases from NL Requirements,"L Kogler, S Hangler, M Ehrhart, B Dornauer…",2026,arXiv preprint arXiv …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",Unsure,Cần đọc full-text để xác nhận scope và kết quả thực nghiệm
7,Exploring LLM-Powered Software Testing: A Study on Multi-Agent Systems for REST APIs,E Sidiropoulos,2025,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC7: Thesis (Univ. Gothenburg), not peer-reviewed"
8,MASTEST: A LLM-Based Multi-Agent System For RESTful API Tests,"X Han, H Zhu",2025,arXiv preprint arXiv:2511.18038,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
9,Automating rest api postman test cases using llm,"SD Sri, RCSP Raman, G Rajagopal, ST Chan",2024,arXiv preprint arXiv …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
10,"A Comparative Survey of Mutation Testing Across Large Language Models, REST APIs, and Database Engines","B Falah, H Routaib",2025,"IEEE 16th Annual Information …, 2025",Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"IC5: Survey, no original experiment"
11,Evaluating LLMs on Sequential API Call Through Automated Test Generation,"Y Huang, J Song, D Song, Z Ji, W Wang…",2025,arXiv preprint arXiv …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC4: Evaluates LLM on API calls, not test generation"
